Organization,ISIN,BBID,Ticker,Sector,Country HQ,Does your organization have a water policy?
HudBay Minerals Inc.,CA4436281022,EQ0017904800001000,HBM CN,Materials,Canada,"Other: Hudbay's Environmental, Health and Safety Policy (EHS Policy) is a company wide document which guides its approach to environmental stewardship. In addition, Hudbay's Manitoba Business Unit possesses a specific EHS Policy which outlines its commitment to preventing and mitigating pollution to water"
Hewlett-Packard,US4282361033,EQ0010073200001000,HPQ US,,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
HIERROS DE LEVANTE SA,,,,Materials,Spain,No
HIHO METAL JAPAN,,,,Consumer Discretionary,Korea,No
Hindustan Construction Company,INE549A01026,EQ0017450800001000,HCC IN,Industrials,India,"Yes, a company-wide water policy"
HI-P INTERNATIONAL LIMITED,,,,Industrials,China,No
"Hitachi Chemical Company, Ltd.",JP3785000005,EQ0011369900001000,4217 JP,Materials,Japan,"Yes, a publicly available company-wide water policy"
"Hitachi Metals, Ltd.",JP3786200000,EQ0011370800001000,5486 JP,Materials,Japan,"Yes, a water policy for select facilities only"
"Hitachi, Ltd.",JP3788600009,EQ0010074100001000,6501 JP,Information Technology,Japan,"Yes, a water policy for select facilities only"
HK Electric Investments,HK0000179108,EQ0000000033130558,2638 HK,Utilities,Hong Kong,"Yes, a company-wide water policy"
Holmen,SE0000109290,EQ0011779800003000,HOLMB SS,Materials,Sweden,"Yes, a publicly available company-wide water policy"
Hosken Consolidated Investments,ZAE000003257,EQ0013036000001000,HCI SJ,Industrials,South Africa,Other:
"Hospira, Inc.",US4410601003,EQ0000000001065214,HSP US,Health Care,USA,"Yes, a publicly available company-wide water policy"
HP Pelzer Holding GmbH,,,,Consumer Discretionary,Belgium,"Yes, a water policy for select facilities only"
Hung Hing Packaging (Wuxi) Co Ltd,,,,Materials,China,"Yes, a company-wide water policy"
Husky Energy Inc.,CA4480551031,EQ0141461600001000,HSE CN,Energy,Canada,"Yes, a company-wide water policy"
Iberdrola SA,ES0144580Y14,EQ0011572400001000,IBE SM,Utilities,Spain,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
IBERICA DE SUSPENSIONES S.L.,,,,Consumer Discretionary,Spain,Other: Environmental policy
Illovo Sugar Ltd,ZAE000083846,EQ0016267700001000,ILV SJ,Consumer Staples,South Africa,Other: incorporated within the environmental policy
Impala Platinum Holdings,ZAE000083648,EQ0011177000001002,IMP SJ,Materials,South Africa,"Yes, a company-wide water policy"
Imperial Tobacco Group,GB0004544929,EQ0019613900001000,IMT LN,Consumer Staples,United Kingdom,"Yes, a company-wide water policy"
Incitec Pivot,AU000000IPL1,EQ0000000000659779,IPL AU,Materials,Australia,Other: Water management forms part of the environmental management system and is included in IPL's HSEC global standards
Inditex,ES0148396007,EQ0023395400001000,ITX SM,Consumer Discretionary,Spain,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
INDUCONTROL S. A. DE C. V.,,,,Consumer Discretionary,Mexico,"Yes, a company-wide water policy"
Ingersoll-Rand Co. Ltd.,IE00B6330302,EQ0010078700001000,IR US,Industrials,Bermuda,"Yes, a company-wide water policy"
Innolux Corporation,TW0003481008,EQ0000000001883864,3481 TT,Information Technology,Taiwan,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
"Integrated Device Technology, Inc.",US4581181066,EQ0010459900001000,IDTI US,,USA,No
Intel Corporation,US4581401001,EQ0010172900001000,INTC US,,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Intercontinental Oils & Fats Pte. Ltd,,,,Industrials,Singapore,No
International Business Machines (IBM),US4592001014,EQ0010080100001000,IBM US,Information Technology,USA,"Yes, a water policy for select facilities only"
INTERNATIONAL TOILETRIES COMPANY LTD,,,,Consumer Staples,Japan,"Yes, a company-wide water policy"
Inventec Co Ltd,TW0002356003,EQ0019371200001000,2356 TT,,Taiwan,No
ISL AUTOMOTIVE GMBH,,,,Consumer Discretionary,Germany,No
Israel Chemicals,IL0002810146,EQ0013563700001000,ICL IT,Materials,Israel,"Yes, a company-wide water policy"
ITAESBRA INDUSTRIA MECANICA LTDA,,,,Consumer Discretionary,Brazil,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
ITC Limited,INE154A01025,EQ0012618300001000,ITC IN,Consumer Staples,India,Other: ITC has company wide water management strategy under which each business unit sets its own reduction targets related to specific water consumption and discharge (water discharge per product/ service). These targets are business specific and based on their operations. All Units strive to achieve zero effluent discharge by ensuring 100% reuse/ recycling of the treated waste water.
JAC PRODUCTS INC. FRANKLIN ALUMINUM,,,,Consumer Discretionary,USA,No
JDS Uniphase Corp.,US46612J5074,EQ0012630200001000,JDSU US,Information Technology,USA,Other: 20% Water Reduction Target
JIANGYIN CHENGXING HOUSEHOLD CHEMIC,,,,Materials,China,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Jintung,,,,Energy,China,No
Johnson & Johnson,US4781601046,EQ0010082800001000,JNJ US,Health Care,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Johnson Matthey,GB00B70FPS60,EQ0011181000001000,JMAT LN,Materials,United Kingdom,"Yes, a publicly available company-wide water policy"
Joy Technology (Shenzen) Corp.,,,,Information Technology,Taiwan,"Yes, a company-wide water policy"
JSW Steel,INE019A01020,EQ0017012000001000,JSTL IN,Materials,India,"Yes, a company-wide water policy"
KAO Corporation,JP3205800000,EQ0011390900001000,4452 JP,Consumer Staples,Japan,"Yes, a publicly available company-wide water policy"
Kaslink,,,,Consumer Staples,Finland,No
Kellogg Company,US4878361082,EQ0010084300001000,K US,Consumer Staples,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
Kemin Nutrisurance Inc.,,,,Consumer Staples,USA,No
Kemira Corporation,FI0009004824,EQ0012532000001000,KRA1V FH,Materials,Finland,Other: Code of Conduct and EHSQ policy
Kering,FR0000121485,EQ0011546700001000,KER FP,Consumer Discretionary,France,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
KIK Custom Products,,,,Consumer Staples,USA,"Yes, a publicly available company-wide water policy"
Kimberly-Clark Corporation,US4943681035,EQ0010085300001000,KMB US,Consumer Staples,USA,"Yes, a publicly available company-wide water policy"
Kingston Technology,,,,Information Technology,USA,No
Kirin Holdings Co Ltd,JP3258000003,EQ0011397000001000,2503 JP,Consumer Staples,Japan,"Yes, a publicly available company-wide water policy"
KOJIN CO. LTD.,,,,,Japan,No
Klabin S/A,BRKLBNACNPR9,EQ0015882600002000,KLBN4 BZ,Materials,Brazil,"Yes, a publicly available company-wide water policy"
KM&I,,,,Consumer Discretionary,Korea,No
KNOWLTON PACKAGING INC,,,,Consumer Staples,Canada,No
Komatsu Ltd.,JP3304200003,EQ0011400900001000,6301 JP,Industrials,Japan,"Yes, a publicly available company-wide water policy"
"Konica Minolta, Inc.",JP3300600008,EQ0011401400001000,4902 JP,,Japan,"Yes, a publicly available company-wide water policy"
Kuehne + Nagel International AG,CH0025238863,EQ0000000004552161,KNIN VX,Industrials,Switzerland,No
Koninklijke DSM,NL0000009827,EQ0011571000001000,DSM NA,Materials,Netherlands,"Yes, a company-wide water policy"
Kostal Group,,,,Consumer Discretionary,United Kingdom,Other:
KSPG AG,,,,Consumer Discretionary,USA,No
Kumba Iron Ore,ZAE000085346,EQ0000000002835322,KIO SJ,Materials,South Africa,"Yes, a publicly available company-wide water policy"
KUNSTSTOFF-TECHNIK SCHERER & TRIER GMBH & CO KG,,,,Consumer Discretionary,Germany,No
Kupinskoe Morozhenoe,,,,Consumer Staples,Russia,"Yes, a company-wide water policy"
La Rondine,,,,Materials,Brazil,"Yes, a publicly available company-wide water policy"
Lab. Deterplus S.R.L.,,,NOT FOUND,Consumer Staples,Argentina,No
Lacrem,,,,Consumer Staples,Spain,"Yes, a company-wide water policy"
Lafarge S.A.,FR0000120537,EQ0011542000001000,LG FP,Materials,France,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Lake Country Foods,,,,Consumer Staples,USA,No
Layne Christensen Company,US5210501046,EQ0010500700001000,LAYN US,Industrials,USA,"Yes, a water policy for select facilities only"
"Lexmark International, Inc.",US5297711070,EQ0017126000001000,LXK US,,USA,"Yes, a company-wide water policy"
LF beauty,,,,Consumer Staples,United Kingdom,No
LIX DETERGENT JSC,,,,Consumer Staples,Vietnam,"Yes, a company-wide water policy"
Lockheed Martin Corporation,US5398301094,EQ0015692300001000,LMT US,Industrials,USA,"Yes, a company-wide water policy"
L'Oréal,FR0000120321,EQ0011541400001000,OR FP,Consumer Staples,France,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Lusomedicamenta,,,,Health Care,Portugal,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
LVMH,FR0000121014,EQ0011542800001000,MC FP,Consumer Discretionary,France,"Yes, a water policy for select facilities only"
MACANDREWS & FORBES HOLDINGS,,,,Financials,USA,"Yes, a water policy for select facilities only"
Magna International Inc.,CA5592224011,EQ0010980600002000,MG CN,Consumer Discretionary,Canada,No
Mahindra & Mahindra,INE101A01026,EQ0013003600001000,MM IN,Consumer Discretionary,India,No
Mahindra Lifespace Developers Limited,INE813A01018,EQ0145605400001000,MLIFE IN,Financials,India,"Yes, a water policy for select facilities only"
Mahindra Sanyo Special Steel Pvt. Ltd,,EQ0000000030572224,0821582D IN,Materials,India,"Other: Water policy in draft stage, will be created this year."
Manufactura Moderna de Metales,,,,Consumer Discretionary,Spain,No
Marfrig Alimentos S.A.,BRMRFGACNOR0,EQ0000000003470565,MRFG3 BZ,Consumer Staples,Brazil,"Yes, a company-wide water policy"
MDR,,,,Consumer Staples,Indonesia,"Yes, a water policy for select facilities only"
"Marriott International, Inc.",US5719032022,EQ0031367300002000,MAR US,Consumer Discretionary,USA,"Yes, a publicly available company-wide water policy"
"Marvell Technology Group, Ltd.",BMG5876H1051,EQ0117905100001000,MRVL US,,USA,"Yes, a water policy for select facilities only"
Maxion Wheels,,,,Consumer Discretionary,USA,No
Mazda Motor Corporation,JP3868400007,EQ0011411600001000,7261 JP,Consumer Discretionary,Japan,"Yes, a publicly available company-wide water policy"
McBride plc,GB0005746358,EQ0017059800001000,MCB LN,Consumer Staples,United Kingdom,No
"McCormick & Company, Incorporated",US5797802064,EQ0010173900001000,MKC US,Consumer Staples,USA,Other: Environmental Policy that covers natural resource conservation and reduction goals
Mead Johnson Nutrition Company,US5828391061,EQ0000000005915975,MJN US,Consumer Staples,USA,"Yes, a publicly available company-wide water policy"
Mediclinic International,ZAE000074142,EQ0013044800001000,MDC SJ,Health Care,South Africa,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
"Medtronic, Inc.",US5850551061,EQ0010097200001000,MDT US,Health Care,USA,"Yes, a publicly available company-wide water policy"
MEERAPFEL,,,,Consumer Staples,Switzerland,No
Meggitt,GB0005758098,EQ0011194600001000,MGGT LN,Industrials,United Kingdom,No
Meihua,,,,Consumer Staples,China,"Yes, a water policy for select facilities only"
"Merck & Co., Inc.",US58933Y1055,EQ0010097800001000,MRK US,Health Care,USA,"Yes, a publicly available company-wide water policy"
METALURGICA CEMBRANOS S.A.,,,,Consumer Discretionary,Spain,No
Metsä Board,FI0009000665,EQ0011665700003000,METSB FH,Materials,Finland,"Yes, a company-wide water policy"
MHI EQUIPMENT EUROPE,,,,Consumer Discretionary,Netherlands,No
Microsoft Corporation,US5949181045,EQ0010174300001000,MSFT US,Information Technology,USA,"Other: Rather than a corporate-wide water policy, Microsoft's Real Estate & Facilities division has Environmental Sustainability Guiding Principles (http://www.microsoft.com/Environment/our-commitment/our-footprint.aspx) related to water quality: 1) promote reduction of potable water use inside buildings and for landscaping through installation of low water use fixtures and native landscaping; 2) promote design that maintains local hydrology and minimizes stormwater run-off and contamination; and 3) use organic landscaping techniques to minimize pesticide and herbicide use wherever possible."
"Micro-Star International Co, Inc",TW0002377009,EQ0033074900001000,2377 TT,,Taiwan,"Yes, a publicly available company-wide water policy"
Mitsubishi Chemical Holdings Corporation,JP3897700005,EQ0000000001961721,4188 JP,Materials,Japan,"Yes, a publicly available company-wide water policy"
Mitsubishi Electric Corporation,JP3902400005,EQ0011415200001000,6503 JP,Industrials,Japan,Other: Not available but included in basic policy
"Mitsubishi Heavy Industries, Ltd.",JP3900000005,EQ0011415500001000,7011 JP,Industrials,Japan,"Yes, a publicly available company-wide water policy"
Molex Incorporated,US6085541018,EQ0010174500001000,,Information Technology,USA,Other: Integrated into publicly available company-wide EH&S policy
Mondelez International Inc,US6092071058,EQ0117656400001000,MDLZ US,Consumer Staples,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
Morgan Advanced Materials,GB0006027295,EQ0011237600001000,MGAM LN,Industrials,United Kingdom,Other: Group EHS policy sets out over-riding principles. Group targets in place. Water policy for select facilities only.
MOTORES Y APARATOS ELECTRICOS DE DURANGO SA DE CV.,,,,Consumer Discretionary,Mexico,"Yes, a water policy for select facilities only"
Motorola Solutions,US6200763075,EQ0010102100001000,MSI US,Information Technology,USA,No
Mubea Group,,,,Consumer Discretionary,USA,"Yes, a company-wide water policy"
Murata Mfg. Co.,JP3914400001,EQ0011422000001000,6981 JP,Information Technology,Japan,"Other: In the past, when we had set the guidelines for action and tackled reduction of the water consumption, we had acheved some degree of reduction. Because there is technical and financial difficulty for promoting more reduction, we are monitoring the water consumption now."
MURRAY GOULBURN CO-OPERATIVE CO LIMITED,,,,Consumer Staples,Australia,No
Naga Dets Ltd,,,,Consumer Staples,India,Other: Environmental policy
NAGARES. S.A.,,,,Consumer Discretionary,Spain,"Other: We haven't a concrete water policy, but in our environmental policy is included that Nagares needs to assure that the consumption of the inputs must to be the minimun needed."
Nanya Technology Corp,TW0002408002,EQ0145928100001000,2408 TT,,Taiwan,"Yes, a publicly available company-wide water policy"
National Grid,GB00B08SNH34,EQ0017956300001000,NG/ LN,Utilities,United Kingdom,No
Navistar International Corporation,US63934E1082,EQ0010105200001000,NAV US,Consumer Discretionary,USA,No
NEBULA HOME PRODUCTS PVT LTD,,,,Materials,India,No
Nestlé,CH0038863350,EQ0011257100002000,NESN VX,Consumer Staples,Switzerland,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
NetApp Inc.,US64110D1046,EQ0017135100001000,NTAP US,,USA,No
Netcare Limited,ZAE000011953,EQ0020127700001000,NTC SJ,Health Care,South Africa,"Yes, a publicly available company-wide water policy"
NetPower Technologies,,,,Information Technology,USA,"Yes, a company-wide water policy"
Newcrest Mining,AU000000NCM7,EQ0011295800001000,NCM AU,Materials,Australia,"Other: Newcrest's Environment Policy covers all environmental aspects, including water."
"Noble Energy, Inc.",US6550441058,EQ0010107600001000,NBL US,Energy,USA,"Yes, a company-wide water policy"
NOK Corporation,JP3164800009,EQ0011446500001000,7240 JP,Consumer Discretionary,Japan,No
Nokia Group,FI0009000681,EQ0011579000001000,NOK1V FH,Information Technology,Finland,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
Norsk Hydro,NO0005052605,EQ0010107900001000,NHY NO,Materials,Norway,"Yes, a publicly available company-wide water policy"
Northam Platinum Ltd,ZAE000030912,EQ0011202300001002,NHM SJ,Materials,South Africa,No
Novartis,CH0012005267,EQ0018058000002000,NOVN VX,Health Care,Switzerland,"Yes, a water policy for select facilities only"
Novelis Inc.,,,,Materials,USA,"Yes, a company-wide water policy"
Novozymes A/S,DK0060336014,EQ0088518400001000,NZYMB DC,Health Care,Denmark,"Other: Novozymes' Sustainability Policy which includes commitments to prevent pollution and set environmental stewardship targets. As part of our implementation of this policy, Novozymes set ambitious targets to reduce the use of water in our production."
NTN Corporation,JP3165600002,EQ0011447400001000,6472 JP,Industrials,Japan,"Yes, a water policy for select facilities only"
NUCERIA ADESIVI SRL,,,,Materials,Italy,Other: CURRENTLY NOT IN PLACE
Nutrex,,,,Consumer Staples,Switzerland,No
Obrascon Huarte Lain (OHL),ES0142090317,EQ0012716000001000,OHL SM,Industrials,Spain,"Other: Yes, water policy is considered within the OHL Group Commitment on Environmental Sustainability, which is a publicly available company-wide environmental policy."
Occidental Petroleum Corporation,US6745991058,EQ0010110600001000,OXY US,Energy,USA,"Yes, a company-wide water policy"
Olam International,SG1Q75923504,EQ0000000001547158,OLAM SP,Consumer Staples,Singapore,"Yes, a company-wide water policy"
Olympus Corporation,JP3201200007,EQ0011450900001000,7733 JP,Health Care,Japan,"Yes, a publicly available company-wide water policy"
OMRON Corporation,JP3197800000,EQ0011451100001000,6645 JP,Information Technology,Japan,"Yes, a publicly available company-wide water policy"
"Ono Pharmaceutical Co., Ltd.",JP3197600004,EQ0011451400001000,4528 JT,Health Care,Japan,No
POLIMEROS DEL URETANO S.A. DE C.V.,,,,Consumer Discretionary,Mexico,No
Oriclean,,,,Consumer Staples,India,"Yes, a company-wide water policy"
OTSCON COMPANY,,,,Consumer Discretionary,USA,No
Owens Corning,US6907421019,EQ0000000002812689,OC US,Industrials,USA,"Yes, a company-wide water policy"
Pall Corporation,US6964293079,EQ0010614400001000,PLL US,Industrials,USA,"Yes, a water policy for select facilities only"
Parker-Hannifin Corporation,US7010941042,EQ0010114900001000,PH US,Industrials,USA,No
Parsons Brinckerhoff Limited,,EQ0000000004161986,PRIV,Industrials,United Kingdom,"Yes, a company-wide water policy"
Pearson,GB0006776081,EQ0011206700001000,PSON LN,Consumer Discretionary,United Kingdom,No
PENDA CORPORATION,,,,Consumer Discretionary,USA,No
"PepsiCo, Inc.",US7134481081,EQ0010115800001000,PEP US,Consumer Staples,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
Piston Automotive,,,,Consumer Discretionary,USA,No
"PerkinElmer, Inc.",US7140461093,EQ0010050300001000,PKI US,Health Care,USA,No
Pernod Ricard,FR0000120693,EQ0011546100001000,RI FP,Consumer Staples,France,"Yes, a publicly available company-wide water policy"
Pfizer Inc.,US7170811035,EQ0010116600001000,PFE US,Health Care,USA,Other: Pfizer has water policy framework included in its publicly-stated sustainability goals document and in the company's over-arching EHS policy.
Philip Morris International,US7181721090,EQ0000000004302454,PM US,Consumer Staples,USA,"Yes, a company-wide water policy"
Philips & Lite-On Digital Solutions Corp.,,,,,Taiwan,Other: Advocacy saving water.
Pioneer International,,,,Consumer Staples,India,No
PONZINI SPA,,,,Consumer Staples,Italy,No
Porton,,,,Materials,China,"Yes, a publicly available company-wide water policy"
POSCO,KR7005490008,EQ0012930900001000,005490 KS,Materials,South Korea,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation"
"PPG Industries, Inc.",US6935061076,EQ0010120400001000,PPG US,Materials,USA,No
PREH HOLDING GMBH,,,,Consumer Discretionary,Germany,No
Premium Tobacco,,,,Consumer Staples,British Virgin Islands,No
PSE TECHNOLOGY CORPORATION,,,,Information Technology,Taiwan,No
Qisda,TW0002352002,EQ0019332000001000,2352 TT,,Taiwan,"Yes, a publicly available company-wide water policy"
QLogic Corp.,US7472771010,EQ0013627300001000,QLGC US,,USA,No
QUALCOMM Inc.,US7475251036,EQ0010637000001000,QCOM US,Information Technology,USA,No
Quanta Computer,TW0002382009,EQ0033054100001000,2382 TT,,Taiwan,No
RALTRON,,,,Information Technology,USA,No
RAR Group,,,,Consumer Staples,Brazil,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
Raytheon Company,US7551115071,EQ0010124300003000,RTN US,Industrials,USA,No
Reed Elsevier Group,GB00B2B0DG97,EQ0011216100001000,REL LN,Consumer Discretionary,United Kingdom,"Yes, a publicly available company-wide water policy"
REHAU INCORPORATED,,,,Consumer Discretionary,Germany,Other: Environmental policy
Renesas Electronics Corporation,JP3164720009,EQ0000000000627515,6723 JT,Information Technology,Japan,No
Resolute Forest Products Inc.,US0036871004,EQ0000000004959406,RFP CN,Materials,Canada,"Yes, a company-wide water policy"
Reunert,ZAE000057428,EQ0013055300001000,RLO SJ,Industrials,South Africa,"Yes, a water policy for select facilities only"
Reynders Label Printing,,EQ0000000010718918,PRIV,Industrials,Belgium,"Yes, a water policy for select facilities only"
"Ricoh Co., Ltd.",JP3973400009,EQ0011456600001000,7752 JP,,Japan,"Yes, a company-wide water policy"
Rio Tinto,GB0007188757,EQ0010128600001000,RIO LN,Materials,United Kingdom,"Other: A water performance standard for direct operations including supplier, procurement and contracting best practice"
RM Chemicals,,,,Consumer Staples,India,"Yes, a water policy for select facilities only"
Roche Holding AG,CH0012032048,EQ0011578500008000,ROG VX,Health Care,Switzerland,"Yes, a publicly available company-wide water policy"
Rockwell Automation,US7739031091,EQ0020253700001000,ROK US,Industrials,USA,No
Roechling Automotive,,,,Consumer Discretionary,Italy,No
RONG HUA(QING YUAN) OFFSET PRINTING,,,,Materials,China,"Yes, a company-wide water policy"
Royal Bafokeng Platinum Ltd,ZAE000149936,EQ0000000011477887,RBP SJ,Materials,South Africa,"Yes, a publicly available company-wide water policy"
Royal BAM Group nv,NL0000337319,EQ0011598100001000,BAMNB NA,Industrials,Netherlands,"Yes, a water policy for select facilities only"
Royal Philips,NL0000009538,EQ0010117300001000,PHIA NA,Industrials,Netherlands,No
Rudraksh Detergent & Chemicals Pvt. Ltd,,,,Consumer Staples,India,"Yes, a water policy for select facilities only"
RWE AG,DE0007037129,EQ0011567500001000,RWE GR,Utilities,Germany,"Yes, a water policy for select facilities only"
SABLE CORPORATION,,,,,Taiwan,No
SABMiller,GB0004835483,EQ0038662800001000,SAB LN,Consumer Staples,United Kingdom,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
Sachet,,,,Materials,South Africa,No
Saint-Gobain,FR0000125007,EQ0011530400001000,SGO FP,Industrials,France,"Other: Yes, a publicly available company-wide water policy, with performance standards for our direct operations."
Samsung Engineering,KR7028050003,EQ0019397300001000,028050 KS,Industrials,South Korea,"Yes, a water policy for select facilities only"
Sanden,,,,Industrials,Japan,"Yes, a company-wide water policy"
Sanifoam,,,,Consumer Staples,Turkey,"Yes, a company-wide water policy"
SANKO SHOJI CO. LTD.,,,,Industrials,Japan,No
Sanlam,ZAE000070660,EQ0037697600001000,SLM SJ,Financials,South Africa,"Yes, a water policy for select facilities only"
Sanmina-SCI Corporation,US8009071072,,,Information Technology,USA,"Yes, a water policy for select facilities only"
SANOFI,FR0000120578,EQ0081556100001000,SAN FP,Health Care,France,"Yes, a publicly available company-wide water policy"
Seagate Technology LLC,IE00B58JVZ52,EQ0000000000171872,STX US,,USA,No
Santos,AU000000STO6,EQ0011304100001000,STO AU,Energy,Australia,"Other: A publicly available company-wide environmental policy, and company-wide Water Resources and Produced Water Environmental Hazard Standards"
Sanyo Denki America Inc,,EQ0000000022428318,,,USA,"Yes, a company-wide water policy"
Sasol Limited,ZAE000006896,EQ0011221300001001,SOL SJ,Energy,South Africa,"Yes, a company-wide water policy"
SCHWAN-STABILO COSMETICS,,,,Consumer Staples,Germany,No
"Secom Co., Ltd.",JP3421800008,EQ0011466000001000,9735 JP,Industrials,Japan,"Yes, a water policy for select facilities only"
Sega Sammy Holdings Inc.,JP3419050004,EQ0000000001304429,6460 JP,Consumer Discretionary,Japan,Other: 明確なゴールの定めはないが、グループマネジメントポリシ－における環境分野の方針の中に、排水・汚泥などに関する所在国の法令等の遵守ならびに水資源の保全、水の効率的な使用、水質汚濁の防止に取り組むとの水に関する基本方針を制定しており、この方針はホームページに掲載している。
"Sekisui Chemical Co., Ltd.",JP3419400001,EQ0011467600001000,4204 JP,Consumer Discretionary,Japan,"Yes, a publicly available company-wide water policy"
Sempra Energy,US8168511090,EQ0035024500001000,SRE US,Utilities,USA,"Other: Sempra Energy recognizes that the energy industry is water intensive and we place a priority on respecting local water supplies and mitigating the risks associated with operating in areas where there is the potential for prolonged water scarcity.   Energy and water are intricately connected.  Energy is used to pump water to where it is needed.  Water helps cool power plants that produce energy.  Although Sempra does not have a specific company-wide water policy, strategy or management plan, we do have a company-wide environmental policy, in addition to policies at the business unit level that promote responsible stewardship of the Earth's natural resources, including water. Our environmental policy outlines performance measures, activities, and opportunities for stewardship in order to meet our goal of protecting the environment and ensuring the health and safety of our employees, our customers, and the communities where we operate. Our utilities SDG&E and SoCalGas have environmental excellence policies that describe their commitment to reducing freshwater consumption and preserving water quality through the design and operation of facilities in addition to water management plans that detail priorities for reduction. Therefore, water use is considered in all areas of our business, including electricity generation and procurement, construction projects, and natural gas operations. In general, Sempra Energy is focused on a low-carbon model with four key elements: clean natural gas, energy efficiency, renewable power, and innovation. While we encourage our customers to reduce their environmental impact by improving energy efficiency, we also look closely at our own operations and facilities to decrease energy and water usage. Electricity generation, in particular, can require a lot of water. This is a critical issue for us since our business units own and operate power-generation assets in the southwestern United States and northern Mexico, where water resources are limited. When water is needed for power generation, the permitting of our power plants and those of our suppliers requires securing a long-term supply and completing an impact mitigation plan. In addition, our power generation facilities were designed to minimize water use- so many are air-cooled or use recycled water. We also work with water agencies and communities where our facilities are located.  We collaborate on regional water management initiatives and comply with all mandatory and voluntary conservation requests. As water-related issues continue to grow in importance, we are considering the development of a water policy or strategy at the Company level that will formalize the strategies already in place."
SESIC,,,,Consumer Staples,Egypt,"Yes, a water policy for select facilities only"
"Seven & I Holdings Co., Ltd.",JP3422950000,EQ0000000001906160,3382 JP,Consumer Staples,Japan,"Yes, a company-wide water policy"
SGF (SUEDDEUTSCH GELENKSCHEIBEN),,,,Consumer Discretionary,Germany,No
SHAPE CORP,,,,Consumer Discretionary,USA,No
Sherwin-Williams Company,US8243481061,EQ0010134100001000,SHW US,Materials,USA,No
Shire,JE00B2QKY057,EQ0017994100001000,SHP LN,Health Care,Ireland,No
"Shiseido Co., Ltd.",JP3351600006,EQ0011474000001000,4911 JP,Consumer Staples,Japan,"Yes, a publicly available company-wide water policy"
Sigma-Aldrich Corporation,US8265521018,EQ0010176600001000,SIAL US,Materials,USA,"Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice"
Sika Services AG,CH0000587979,EQ0011797600001000,SIK VX,Materials,Switzerland,No
Silicon Laboratories,US8269191024,EQ0117642600001000,SLAB US,,USA,No
Sims Metal Management,AU000000SGM7,EQ0011304800001000,SGM AU,Materials,Australia,"Yes, a publicly available company-wide water policy"
SM Investments,PHY806761029,EQ0020941500001000,SM PM,Industrials,Philippines,"Yes, a company-wide water policy"
"Smithfield Foods, Inc.",US8322481081,EQ0010678000001000,,Consumer Staples,USA,"Yes, a publicly available company-wide water policy"
Smurfit Kappa Group PLC,IE00B1RR8406,EQ0000000003349681,SKG ID,Materials,Ireland,Other: Group has a Environmental Policy that address water as well as all other environmental aspects.
Snam S.P.A,IT0003153415,EQ0726285800001000,SRG IM,Utilities,Italy,"Yes, a publicly available company-wide water policy"
Solvay S.A.,BE0003470755,EQ0011575300001000,SOLB BB,Materials,Belgium,"Yes, a publicly available company-wide water policy"
