Year,Organization,Country HQ,Country location,Row,Forest Risk Commodity,Forest Risk Assessment,Forest Risk Process,Regulatory risks - Risk Present,Regulatory risks - Further Details,Reputational Risks - Risk Present,Reputational Risks - Further Details,Operational Risks - Risk Present,Operational Risks - Further Details
2014,Johnson Controls,USA,"(37.09024, -95.712891)",4,Soy,Partial,"Soy derivatives are currently available from multiple sources at competitive prices.  Should prices increase due to shortages, etc., then other chemical sources are readily available as a replacement.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company."
2013,Jerónimo Martins SGPS SA,Portugal,"(39.399872, -8.224454)",5,Biofuels,Partial,"In 2011, Jerónimo Martins carried out a risk assessment process focusing on threats and opportunities – both for the company and for its supply chain – associated with the different ecosystems services. The process used the Corporate Ecosystem Services Review (ESR) methodology developed by the World Business Council for Sustainable Development (WBCSD) and the World Research Institute (WRI), and encompassed the assessment of operational, regulatory, reputational and market risks and opportunities. Use of forest risk commodities, including palm oil, was included in the assessment, tough not subject to detailed analysis as it was not selected as priority action area (corporate priority was decided on sustainable fish procurement).

Use of biofuels relates to the supply of diesel in our own gas stations (under partnership with a fuel supplier) and to diesel use in the company fleet. Commercial road diesel currently contains around 7% of biofuel. The supplier of diesel for our gas stations holds ISCC (International Sustainability and Carbon Certificate) for all fuel incorporating biodiesel.",Non-material risk,"Possible enactment, in countries of origin, of further restrictions on the production of biofuels. This could affect availability and price of the commodity and thus affect commercial road diesel supply (regulation in Portugal imposes a minimal biofuel content – current level is 7%). 
Risk is deemed material as sale of fuel in our own gas stations is increasingly relevant in sales.",Non-material risk,"Reputational risk arising from possible non-sustainable sources of biofuel incorporated into diesel sold in our gas stations are expected to increase as public awareness of the issue continues to rise. 

Risk is deemed non-material as our fuel supplier holds ISCC (International Sustainability and Carbon Certificate) for all diesel sold .The ISCC assures traceability of biodiesel along the supply chain.",Non-material risk,"Operational risk arising from reduced availability of biodiesel for incorporation into fuel sold in our gas stations could exist.

Risk is deemed non-material as current incorporation level is 7%."
2014,Jerónimo Martins SGPS SA,Portugal,"(39.399872, -8.224454)",1,Timber,Partial,"In 2011, Jerónimo Martins carried out a risk assessment process focusing on threats and opportunities – both for the company and for its supply chain – associated with the different ecosystems services. The process used the Corporate Ecosystem Services Review (ESR) methodology developed by the World Business Council for Sustainable Development (WBCSD) and the World Research Institute (WRI), and encompassed the assessment of operational, regulatory, reputational and market risks and opportunities. Use of forest risk commodities, including timber, was included, though not subject to detailed analysis as it was not selected as priority action area (priority was decided on sustainable fish procurement and sustainable agriculture).

The company undertakes an annual assessment process of the use of wood and wood fiber on products sold in its stores (Jerónimo Martins' Private Brand and Perishable products). The process encompasses the scoping of product portfolio and a materiality assessment based on the amount of commodity used and the proportion of sales associated with the products that contain them. It also involves a comprehensive supplier survey focused on the identification of commodity origin and its sustainable production certification.

Operational risk assessment is based on the intensity of use of wood and wood fiber on Private Brand products (no use of the commodity in the Perishable products category) and on availability of information on its sources. Regulatory risk assessment is based on the review of European Union regulations on timber imports (EU Regulation 995/2010). Reputational risk assessment is based on the level of public awareness on the issue of sustainable timber sourcing and on market recognition of forest certification schemes. 

In 2013, timber risk assessment process included the scoping of all Jerónimo Martins´ Private Brand portfolio. A total of 5,246 products (SKU) were scoped and the respective suppliers surveyed. 

The company aims to further detail this analysis by evaluating methods for full assurance of sustainable timber use in all its Private Brand products and packaging.",Non-material risk,"EU Regulation on timber and timber imports (EU Regulation 995/2010) may have some impact on supply chain patterns. 

Risk is deemed non-material as most of our imports come from inside the European Union and that survey of Private Brand suppliers found that 50% could certify a sustainable origin of the commodity (FSC, PEFC and SFI certification).",Non-material risk,"Exposure to reputational risk arising from possible non-sustainable sources of wood/wood fibers used in our Private Brand products and packaging is expected to increase as public awareness of the issue continues to rise. 

Risk is deemed non-material as wood/wood fiber is found in 5% of our Private Brand SKUs (6% of sales for this product category) and survey of Private Brand suppliers found that 60% could certify a sustainable origin of the commodity (FSC, PEFC and SFI certification).",Non-material risk,"Operational risk arising from reduced availability of wood/wood fibres used in Private Brand products could exist.

Risk is deemed non-material as company dependency on the commodity is limited. Wood/wood fiber is found in 5% of our Private Brand SKUs (6% of sales for this product category)."
2014,Jerónimo Martins SGPS SA,Portugal,"(39.399872, -8.224454)",2,Palm Oil,Partial,"In 2011, Jerónimo Martins carried out a risk assessment process focusing on threats and opportunities – both for the company and for its supply chain – associated with the different ecosystems services. The process used the Corporate Ecosystem Services Review (ESR) methodology developed by the World Business Council for Sustainable Development (WBCSD) and the World Research Institute (WRI), and encompassed the assessment of operational, regulatory, reputational and market risks and opportunities. Use of forest risk commodities, including palm oil, was included, though not subject to detailed analysis as it was not selected as priority action area (priority was decided on sustainable fish procurement and sustainable agriculture).

The company undertakes an annual assessment of the use of palm oil, palm kernel oil and derivatives on products sold in its stores (Jerónimo Martins' Private Brand and Perishable products). The process encompasses the scoping of product portfolio and a materiality assessment based on the amount of commodity used and the proportion of sales associated with the products that contain them. It also involves a comprehensive supplier survey focused on the identification of commodity origin and its sustainable production certification.

Operational risk assessment is based on the intensity of use of palm oil on Private Brand and Perishable products and on availability of information on its sources. Reputational risk assessment is based on the level of public awareness on the issue of sustainable palm oil sourcing and on market recognition of palm certification schemes. 

In 2013, palm oil risk assessment process included the scoping of all Private Brand portfolio, as well as Perishable product subcategories that might contain the commodity (fresh bakery and pastry).  A total of 6,173 products (SKU) were scoped and the respective suppliers surveyed. 

The company aims to further detail this analysis by evaluating methods for full assurance of sustainable palm oil use in all its Private Brand and Perishable products.",Non-material risk,"No specific legislation identified. Enactment, in countries of origin, of restrictions on palm plantation may occur but likelihood is uncertain.",Material risk,"Exposure to reputational risk arising from possible non-sustainable sources of palm oil and derivatives used in our Private Brand and Perishable (fresh pastry) products are expected to increase as public awareness of the issue continues to rise. NGO attention is currently particularly strong for this commodity.

Risk is deemed material – though both likelihood and magnitude are uncertain – as the company currently cannot ensure full traceability of the commodity. Palm oil, palm kernel oil or derivatives are found in 9% of our Private Brand SKUs (18% of sales for this product category) and in fresh bakery and pastry products that account for less than 1% of sales in the Perishable products category. Survey found that only 10% of our palm oil containing Private Brand and Perishable products (SKU) currently use certified sustainable commodity (RSPO certification).",Non-material risk,"Operational risk arising from reduced availability of palm oil used in Private Brand products could exist.

Risk is deemed non-material as company dependency on the commodity is limited. Palm oil, palm kernel oil or derivatives are found in 9% of our Private Brand SKUs (18% of sales for this product category) and in fresh bakery and pastry products that account for less than 1% of sales in the Perishable products category."
2014,Jerónimo Martins SGPS SA,Portugal,"(39.399872, -8.224454)",3,Cattle Products,Partial,"In 2011, Jerónimo Martins carried out a risk assessment process focusing on threats and opportunities – both for the company and for its supply chain – associated with the different ecosystems services. The process used the Corporate Ecosystem Services Review (ESR) methodology developed by the World Business Council for Sustainable Development (WBCSD) and the World Research Institute (WRI), and encompassed the assessment of operational, regulatory, reputational and market risks and opportunities. Use of forest risk commodities, including cattle products, was included, though not subject to detailed analysis as it was not selected as priority action area (priority was decided on sustainable fish procurement and sustainable agriculture).

The company undertakes an annual assessment process of the use of fresh bovine meat (Perishable products) and processed beef (Jerónimo Martins's Private Brand) on products sold in its stores. The process encompasses the scoping of product portfolio and a materiality assessment based on the amount of commodity used and the proportion of sales associated with the products that contain them. For Private Brand products it also involves a comprehensive supplier survey focused on the identification of commodity origin and its sustainable production certification. For Perishable products, Jerónimo Martins assures full traceability to point of origin for all bovine meat, most of which is locally breed and slaughtered. 

Fresh meat accounts for almost all cattle products sold at Jerónimo Martins stores. Operational, regulatory and reputational risks were not further assessed as they were deemed immaterial considering the level of control the company has over a significant part of its meat supply and because over 98% of fresh meat sold can be traced to farms located in countries where deforestation risk is very low.",Non-material risk,"No specific legislation identified. Risk is deemed non-material as, in 2013, over 85% of fresh meat sold in our stores came from identified farms in Poland, Portugal and Spain. Over 98% was produced in countries with low deforestation risks. Fresh meat accounts for most beef sold in our stores.",Non-material risk,"Exposure to reputational risk arising from possible non-sustainable sources of bovine meat - sold in our stores as fresh meat or contained in our Private Brand products - is expected to increase as public awareness of the issue continues to rise. 

Risk is deemed non-material as, in 2013, over 85% of fresh meat sold in our stores came from identified farms in Poland, Portugal and Spain. Over 98% was produced in countries with low deforestation risks. Fresh meat accounts for most beef sold in our stores.",Non-material risk,"Risk is deemed non-material as, in 2013, over 85% of fresh meat sold in our stores came from identified farms in Poland, Portugal and Spain. Over 98% was produced in countries with low deforestation risks. Fresh meat accounts for most beef sold in our stores."
2014,Jerónimo Martins SGPS SA,Portugal,"(39.399872, -8.224454)",4,Soy,Partial,"In 2011, Jerónimo Martins carried out a risk assessment process focusing on threats and opportunities – both for the company and for its supply chain – associated with the different ecosystems services. The process used the Corporate Ecosystem Services Review (ESR) methodology developed by the World Business Council for Sustainable Development (WBCSD) and the World Research Institute (WRI), and encompassed the assessment of operational, regulatory, reputational and market risks and opportunities. Use of forest risk commodities, including  soy, was included, though not subject to detailed analysis as it was not selected as priority action area (priority was decided on sustainable fish procurement and sustainable agriculture).

The company undertakes an annual assessment process of the use of soy bean, soy oil an derivatives on products sold in its stores (Jerónimo Martins' Private Brand and Perishable products). The process encompasses the scoping of product portfolio and a materiality assessment based on the amount of commodity used and the proportion of sales associated with the products that contain them. It also involves a comprehensive supplier survey focused on the identification of commodity origin and its sustainable production certification.

Operational risk assessment is based on the intensity of use of soy on Private Brand and Perishable products and on availability of information on its sources. Reputational risk assessment was based on the level of public awareness on the issue of sustainable soy sourcing and on market recognition of soy certification schemes. 

In 2013, soy risk assessment process included the scoping of all Jerónimo Martins´ Private Brand portfolio, as well as Perishable product subcategories that might contain the commodity (fresh bakery and pastry).  A total of 6,173 products (SKU) were scoped and the respective suppliers surveyed. 

The company aims to further detail this analysis by evaluating methods for full assurance of sustainable soy use in all its Private Brand and Perishable products.",Non-material risk,"No specific legislation identified. Enactment, in countries of origin, of restrictions on palm plantation may occur but likelihood is uncertain.",Material risk,"Exposure to reputational risk arising from possible non-sustainable sources of soy and derivatives used in our Private Brand products are expected to increase as public awareness of the issue continues to rise. 

Risk is deemed material – though both likelihood and magnitude are uncertain – as the company currently cannot ensure full traceability of the commodity. Soy bean, soy oil or derivatives are found in 8% of our Private Brand SKUs (13% of sales for this product category) and in fresh bakery and pastry products that account for less than 0.5% of sales in the Perishable products category. Survey found that only 2% of our soy containing Private Brand and Perishable products (SKU) currently use certified sustainable commodity (RTRS certification).",Non-material risk,"Operational risk arising from reduced availability of soy used in own brand products could exist.

Risk is deemed non-material as company dependency on the commodity is limited. Soy bean, soy oil or derivatives are found in 8% of our Private Brand SKUs (13% of sales for this product category) and in fresh bakery and pastry products that account for less than 0,5% of sales in the Perishable products category."
2014,Millennium & Copthorne Hotels,United Kingdom,"(55.378051, -3.435973)",4,Soy,Partial,"Our procurement teams continue to work on sustainability initiatives within the supply chain.  Within the European region, a supplier evaluation matrix is used as a basis for approving or rejecting suppliers.  The matrix requests suppliers to identify whether their company has a formal system to identify the point of origin of Forest Risk Commodities, specifically those products which contain timber, palm oil, bio fuels, beef or soya).",No risk,,No risk,,No risk,
2013,Johnson Controls,USA,"(37.09024, -95.712891)",1,Timber,Partial,"Used mostly for pallets, which our risk assessment showed that numerous suppliers and soruces for pallets are available. Pallets and dunnage are made often from scrape or low quality timber.  Also, numerous other types of pallets are available besides timber which further reduces shortage or pricing risks. We have also implemented aggressive pallet recycling programs within our automotive group which is significantly reducing our demand for pallets, which is also significantly reducing operational costs.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",No risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company."
2013,Johnson Controls,USA,"(37.09024, -95.712891)",2,Palm Oil,Partial,Little or none known to be used or purchased.,Non-material risk,Little or none known to be used or purchased.,Non-material risk,Little or none known to be used or purchased.,No risk,Little or none known to be used or purchased.
2013,Johnson Controls,USA,"(37.09024, -95.712891)",3,Cattle Products,Partial,We evaluated availability and it appears a large number of suppliers can provide the type of leather needed at suitable prices.  Options have been identified should leather supplies become short for whatever reason.,Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",No risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company."
2013,Johnson Controls,USA,"(37.09024, -95.712891)",4,Soy,Partial,"Soy derivatives are currently available from multiple sources at competitive prices.  Should prices increase due to shortages, etc., then other chemical sources are readily available as a replacement.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",No risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company."
2013,Johnson Controls,USA,"(37.09024, -95.712891)",5,Biofuels,Partial,Elimination of ethanol from our commerically purchased vehicle fuel would increase fuel efficiency.,Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",No risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company."
2014,Johnson Controls,USA,"(37.09024, -95.712891)",1,Timber,Partial,"Used mostly for pallets, which our risk assessment showed that numerous suppliers and soruces for pallets are available. Pallets and dunnage are made often from scrape or low quality timber.  Also, numerous other types of pallets are available besides timber which further reduces shortage or pricing risks. We have also implemented aggressive pallet recycling programs within our automotive group which is significantly reducing our demand for pallets, which is also significantly reducing operational costs.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company."
2014,Johnson Controls,USA,"(37.09024, -95.712891)",2,Palm Oil,Partial,Little or none known to be used or purchased.,No risk,"No known risk, since little or none purchased or used.",No risk,Little or none known to be used or purchased.,No risk,Little or none known to be used or purchased.
2014,Johnson Controls,USA,"(37.09024, -95.712891)",3,Cattle Products,Partial,We evaluated availability and it appears a large number of suppliers can provide the type of leather needed at suitable prices.  Options have been identified should leather supplies become short for whatever reason.,Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company.",Non-material risk,"Amounts acquired are relatively insignificant compared to overall market for this commodity.  Overall, we are unaware of any significant issues or risks with acquiring these commodities by our company."
2014,Kajima Corporation,Japan,"(36.204824, 138.252924)",1,Timber,Partial,"コンクリート型枠については、違法伐採材およびその加工製品の日本への輸入状況をNPOよりヒアリングを実施。
コピー紙に関しては国のグリーン購入基準への適合状況を確認。",Non-material risk,日本政府のグリーン購入指針の対象が本設木製品から仮設木製品にも拡大される可能性あり。また合法性に関しても現地の森林管理状況の確認を求めるものに強化されることも想定される。いずれも国産材等の代替材での対応が可能,Non-material risk,日本に輸入されている木材、木製品の一部は違法に伐採されt物が含まれており、型枠材として当社の協力会社が使用してしまう可能性がある。このようなことが起こると関連NGOから熱帯林破壊に加担する企業として非難される。,Non-material risk,違法伐採木を中心に南洋材の輸入規制が強化されれコンクリート型枠合板が品薄になる可能性があるが、そのような材料を使用してしまうことによるリスクのほうが大きく、望ましい方向。不足分については国産材等の代替材で対応可能。
2013,Kellogg Company,USA,"(37.09024, -95.712891)",1,Timber,Yes or 100% third party certified raw materials already achieved,"Product packaging is essential for protecting our foods in their journey from manufacturing facilities to retailers to consumers’ homes. The outside of the packaging also provides us with space to communicate product attributes and nutrition information.  Packaging is a component of every product we make and much of that packaging is based on forest products.  It was important to Kellogg to have a strategy in place to address potential deforestation associated with timber based packaging due to the large purchase volume of these materials. Our process to identify the risks in our timber-based products started through discussions by executives to identify a strategy to mitigate potential risks. By identifying FSI in the United States and FSI for the rest of the world, Kellogg found the vehicle to ensure sustainable sourcing was occurring. After this decision was made, additional risk assessment was done at the individual level within the Procurement department to weigh availability, pricing and risk for each sourcing region and application. We continually look at packaging innovations that can help reduce the amount of timber based packaging we use.

Our commitments are summarized on our company website at:
http://crr.kelloggcompany.com/en_US/corporate-responsibility/overview/our-commitments.html
",No risk,We have not found that any regulations are or will be in place in the future that will significantly affect the sourcing of our timber-based packaging,No risk,"Since Kellogg Company has been using recycled content in our packaging since its inception, we have a reputation for being thoughtful around the content of our packaging. We continue this commitment by buying recycled content packaging and FSC/FSI certified virgin boards.",No risk,There are no operational risks for timber-based packaging products because the supply is secure.
2013,Kellogg Company,USA,"(37.09024, -95.712891)",2,Palm Oil,Yes or 100% third party certified raw materials already achieved,"We are a very minor user of palm oil – buying about 0.1 percent of the global supply annually – but we are deeply concerned about its environmental impacts.  Based on these impacts we have developed a sourcing strategy to address the environmental risk associated with our purchases of palm oil.  Since 2008 Kellogg has taken steps to source sustainably grown palm oil and to do our part to end the deforestation associated with palm oil cultivation. In fact, all of the palm oil we use today is 100 percent sustainably sourced through a combination of GreenPalm certificates, mass balance and segregated, sustainably grown supply. Also, 100 percent of the palm oil we use comes from suppliers who are members of the Roundtable on Sustainable Palm Oil (RSPO), a multi-stakeholder organization (of which Kellogg is also a member) working to ensure that palm oil production is economically viable, environmentally appropriate and socially beneficial.  
Specifically,  •In Europe, we began using a segregated supply of sustainably grown palm oil in the summer of 2012. By the end of 2013, we expect that at least 90 percent of the very small volume of palm oil we use in Europe in our products, aside from Pringles® , will be segregated sustainably grown. The palm oil we use in Pringles® in Europe is sourced through the mass balance system, which combines sustainably grown and conventional palm oil.  •In other markets where neither a segregated or mass balance supply are sufficient or feasible, we are continuing to help growers fund the transition to sustainably grown palm oil by purchasing GreenPalm certificates to cover 100 percent of our current palm oil use, as we have done since 2010.   
With the RSPO and other stakeholders, we continue to explore solutions to this global issue and to encourage our mass balance suppliers to increase their percentage of sustainable palm oil as the supply increases. We also require, through our Supplier Code of Conduct, our vendor partners to commit to reducing their impact on the environment.
We are a member of the Consumer Goods Forum (CGF) and support the CGF’s pledge to help achieve zero net deforestation by 2020. Our purchasing policies relating to palm oil help us to meet this commitment.
These commitments are summarized on our company website at 
http://crr.kelloggcompany.com/en_US/corporate-responsibility/overview/our-commitments.html",No risk,"Although we are very engaged in procuring sustainably sourced palm, we have not found any regulations that are or will be in place in the future that will significantly affect the sourcing of our palm oils.",Material risk,"Palm oil continues to be an area of great concern for our consumers and our customers. Although there are reputational risks present with the use of palm oil, we have mitigated these risks by procuring 100% sustainably sourced palm through GreenPalm certificates, mass balance and segregated, sustainably grown supply.",Non-material risk,There are no operational risks for palm oil because we are able source our supply from RSPO suppliers and acquire GreenPalm certificates.
2013,Kellogg Company,USA,"(37.09024, -95.712891)",3,Soy,Yes or 100% third party certified raw materials already achieved,"Soy and soy oils are components in many of our products.  When assessing our risk associated with soy, we first did an analysis to determine where our soy is grown for our products globally. We do not purchase soy products from tropical deforested regions. Instead, we purchase soy almost exclusively from the U.S., with a small amount from Argentina.  Due to the volume of our annual purchases of soy and the risk associated with soy production in some parts of the world, we felt it important to document this sourcing strategy for soy and soy oils. By buying almost all of our soy products in the United States, we know that there is a very small risk of deforestation for soy cultivation. Further, through assessment based on cost and risk within our procurement department, we source our soy from Argentina, rather than Brazil or other neighboring countries that have a larger likelihood of deforestation. Going forward, we will continue to be aware of the risk of deforestation associated with soy and will periodically reassess our business needs and supplier performance.

Our commitments are summarized on our company website at:
http://crr.kelloggcompany.com/en_US/corporate-responsibility/overview/our-commitments.html",No risk,We have not found that any regulations are or will be in place in the future that will significantly affect the sourcing of our soy or soy oils.,No risk,"Soy does not have a reputational risk for Kellogg. Soy is mostly sourced from the United States, where the risk of deforestation is much lower.",No risk,"There are no operational risks for soy since the supply is readily available and freely traded.
"
2014,Kellogg Company,USA,"(37.09024, -95.712891)",1,Timber,Yes,"Product packaging is essential for protecting our foods in their journey from manufacturing facilities to retailers to consumers’ homes. The outside of the packaging also provides us with space to communicate product attributes and nutrition information.  Packaging is a component of every product we make and much of that packaging is based on forest products.  It was important to Kellogg to have a strategy in place to address potential deforestation associated with timber based packaging due to the large purchase volume of these materials. Our process to identify the risks in our timber-based products started through discussions by executives to identify a strategy to mitigate potential risks. By identifying FSI in the United States and FSI for the rest of the world, Kellogg found the vehicle to ensure sustainable sourcing was occurring. After this decision was made, additional risk assessment was done at the individual level within the Procurement department to weigh availability, pricing and risk for each sourcing region and application. We continually look at packaging innovations that can help reduce the amount of timber based packaging we use.

Our commitments are summarized on our company website at:
http://www.kelloggcompany.com/content/dam/kelloggcompanyus/PDF/Corporate%20Responsibility%20Sustainability%20Commitments%201112.pdf
",No risk,We have not found that any regulations are or will be in place in the future that will significantly affect the sourcing of our timber-based packaging.,No risk,"Since Kellogg Company has been using recycled content in our packaging since its inception, we have a reputation for being thoughtful around the content of our packaging. We continue this commitment by buying recycled content packaging and FSC/SFI certified virgin boards.",No risk,There are no operational risks for timber-based packaging products because the supply is secure.
2014,Kellogg Company,USA,"(37.09024, -95.712891)",2,Palm Oil,Yes,"We are a very minor user of palm oil but we are deeply concerned about its environmental impacts.  Based on these impacts we have developed a sourcing strategy to address the environmental risk associated with our purchases of palm oil.  Since 2008 Kellogg has taken steps to source sustainably grown palm oil and to do our part to end the deforestation associated with palm oil cultivation. In fact, all of the palm oil we use today is 100 percent sustainably sourced through a combination of GreenPalm certificates, mass balance and segregated, sustainably grown supply. We are committed to the protection of forests, biodiversity, and peat lands, to mimimizing the carbon footprint of our palm oil supply chain, and to respecting human rights including no forced or child labor, slavery or human trafficking.  Also, 100 percent of the palm oil we use comes from suppliers who are members of the Roundtable on Sustainable Palm Oil (RSPO), a multi-stakeholder organization (of which Kellogg is also a member) working to ensure that palm oil production is economically viable, environmentally appropriate and socially beneficial.  
Specifically, in Europe, we began using a segregated supply of sustainably grown palm oil in the summer of 2012. The palm oil we use in Pringles® in Europe is sourced through the mass balance system, which combines sustainably grown and conventional palm oil. In other markets, we are continuing to help growers fund the transition to sustainably grown palm oil by purchasing GreenPalm certificates to cover the remaining palm oil, as we have done since 2010.   
With the RSPO and other stakeholders, we continue to explore solutions to this global issue and to encourage our mass balance suppliers to increase their percentage of sustainable palm oil as the supply increases. We also require, through our Supplier Code of Conduct, our vendor partners to commit to reducing their impact on the environment.
We are a member of the Consumer Goods Forum (CGF) and support the CGF’s pledge to help achieve zero net deforestation by 2020. Our purchasing policies relating to palm oil help us to meet this commitment.
These commitments are summarized on our company website at 
http://www.kelloggcompany.com/content/dam/kelloggcompanyus/PDF/Corporate%20Responsibility%20Sustainability%20Commitments%201112.pdf",No risk,"Although we are very engaged in procuring sustainably sourced palm, we have not found any regulations that are or will be in place in the future that will significantly affect the sourcing of our palm oils. We work with our government relations team to determine if there are regulatory opportunities to grow sustainable and traceable palm oil supply.",Material risk,"Palm oil continues to be an area of great concern for our consumers and our customers. Although there are reputational risks present with the use of palm oil, we have mitigated these risks by procuring 100% sustainably sourced palm through RSPO mass balance and segregated, GreenPalm certificates that are a sustainably grown supply. As customers continue to expand requirements of palm oil use, we may be required to have segregated supplies as we go forward.",Non-material risk,"There are no operational risks for palm oil because we are able source our supply from RSPO suppliers and acquire GreenPalm certificates. As customers continue to expand requirements of palm oil use, we may be required to have segregated supplies of which there is a limited supply."
2013,PrimeAsia Leather Company,USA,"(37.09024, -95.712891)",2,Cattle Products,Yes or 100% third party certified raw materials already achieved,"PrimeAsia manages beyond the first tier of our hide suppliers thru the hide traceability section of the Leather Working Group audits. Our hide suppliers must know exactly where their cattle farms are located, date of slaughter/slaughterhouse,  and in the case of Brazil have those farms GPS'd.   									",Material risk,We need to manage the risk of our wet blue suppliers.,Material risk,PrimeAsia prides itself on buying from reputable wet blue suppliers who meet strict standards.,No risk,
2014,Kellogg Company,USA,"(37.09024, -95.712891)",3,Soy,Yes,"Soy and soy oils are components in many of our products.  When assessing our risk associated with soy, we first did an analysis to determine where our soy is grown for our products globally. We do not purchase soy products from tropical deforested regions. Instead, we purchase soy almost exclusively from the U.S., with a small amount from Argentina.  Due to the volume of our annual purchases of soy and the risk associated with soy production in some parts of the world, we felt it important to document this sourcing strategy for soy and soy oils. By buying almost all of our soy products in the United States, we know that there is a very small risk of deforestation for soy cultivation. Further, through assessment based on cost and risk within our procurement department, we source our soy from Argentina, rather than Brazil or other neighboring countries that have a larger likelihood of deforestation. In 2013, we engaged our soy suppliers in discussing risks of deforestation and potential engagement opportunities. Going forward, we will continue to be aware of the risk of deforestation associated with soy, communicate this risk with our suppliers and will periodically reassess our business needs and supplier performance.

Our commitments are summarized on our company website at:
http://www.kelloggcompany.com/content/dam/kelloggcompanyus/PDF/Corporate%20Responsibility%20Sustainability%20Commitments%201112.pdf",No risk,We have not found that any regulations are or will be in place in the future that will significantly affect the sourcing of our soy or soy oils.,No risk,"Soy does not have a reputational risk for Kellogg. Soy is mostly sourced from the United States, where the risk of deforestation is much lower.",No risk,There are no operational risks for soy since the supply is readily available and freely traded.
2014,Kesko Corporation,Finland,"(61.92411, 25.748151)",1,Timber,Yes,It has been recognised that there are risks related to the origin of timber. The risk is managed with the help of timber certification. FSC or PEFC required of all wood products with raw materials originating from tropical forest or endangered wood species. All wood products originating from Europe (excluding RU) are FSC or PEFC.,Material risk,EU's FLEGT directive,Material risk,"ngo, media",Material risk,Potential shortage
2014,Kesko Corporation,Finland,"(61.92411, 25.748151)",2,Palm Oil,Partial,Palm oil is one of the ingredients in the products we sell. We are able to influence the raw materials of our own brand products. Kesko Food is a member of RSPO. CSPO is estimated to account for 5% of all palm oil in our own products.,Material risk,Renewal of energy directive could affect the availability.,Material risk,"ngo, media",Material risk,Potential shortage
2014,Kesko Corporation,Finland,"(61.92411, 25.748151)",3,Cattle Products,Partial,"This commodity concerns several divisions. Kesko Food sells beef, the home and speciality goods division sells leather shoes etc.",No risk,,Material risk,"ngo, media",Material risk,Potential shortage
2014,Kesko Corporation,Finland,"(61.92411, 25.748151)",4,Soy,Partial,Soy is related to animal feed and the food manufacturing industry.,Material risk,Biofuels directive,Material risk,"ngo, media",Material risk,Potential shortage
